Week_Start_Date,Week_End_Date,Quarter,Fiscal_Year,Quarter_Number,Week_Number_In_Quarter,Week_Number_Total,Year,Month,Month_Name,Region,Product,Payment_Plan,Revenue_Millions,Customer_Count,Trend_Type,Active_Events
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Pro,Monthly,0.024928831141073738,1246,steady_growth,NA_Pro_steady_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Pro,Yearly,0.28955560666194674,1447,steady_growth,NA_Pro_steady_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Business,Monthly,0.07537584558713363,3768,plateau,NA_Business_plateau
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Business,Yearly,0.8754252350603163,4377,plateau,NA_Business_plateau
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Enterprise,Monthly,0.129489089728181,6474,volatile_growth,NA_Enterprise_volatile_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,NA,Enterprise,Yearly,1.5038124124266516,7519,volatile_growth,NA_Enterprise_volatile_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Pro,Monthly,0.04066529930995541,2033,gentle_acceleration,EMEA_Pro_gentle_acceleration
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Pro,Yearly,0.4722394696263766,2361,gentle_acceleration,EMEA_Pro_gentle_acceleration
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Business,Monthly,0.020481901177007468,1024,slow_recovery,EMEA_Business_slow_recovery
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Business,Yearly,0.2378763104186155,1189,slow_recovery,EMEA_Business_slow_recovery
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Enterprise,Monthly,0.07448033645495504,3724,market_correction,EMEA_Enterprise_market_correction
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,EMEA,Enterprise,Yearly,0.8649852824424396,4324,market_correction,EMEA_Enterprise_market_correction
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Pro,Monthly,0.011695196187768092,584,volatile_growth,APAC_Pro_volatile_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Pro,Yearly,0.135780615426051,678,volatile_growth,APAC_Pro_volatile_growth
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Business,Monthly,0.02000735787619489,1000,cyclical_pattern,APAC_Business_cyclical_pattern
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Business,Yearly,0.23235017714141096,1161,cyclical_pattern,APAC_Business_cyclical_pattern
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Enterprise,Monthly,0.01597373981928796,798,sideways_drift,APAC_Enterprise_sideways_drift
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,APAC,Enterprise,Yearly,0.18550816099668538,927,sideways_drift,APAC_Enterprise_sideways_drift
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,LATAM,Pro,Monthly,0.0060695618958770264,303,gentle_acceleration,LATAM_Pro_gentle_acceleration
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,LATAM,Pro,Yearly,0.07046968017066807,352,gentle_acceleration,LATAM_Pro_gentle_acceleration
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,LATAM,Business,Monthly,0.010371067300016861,518,market_correction,LATAM_Business_market_correction
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,LATAM,Business,Yearly,0.12044215131591537,602,market_correction,LATAM_Business_market_correction
11/01/2019,11/07/2019,2019 Q4,2019,Q4,1,1,2019,11,November,LATAM,Enterprise,Monthly,0.007202342678461894,360,cyclical_pattern,LATAM_Enterprise_cyclical_pattern
